title,price,image_link
"
Сотовый телефон Xiaomi Poco M3 Pro 5G 4/64GB желтый
","
13140 сом
",/images/product/95021/1625596396_19133600.jpg
"
Сотовый телефон Xiaomi Redmi Note 11S 6/64GB серый
","
17550 сом
",/images/product/103213/1644315300_18447500.jpg
"
Сотовый телефон Xiaomi Poco M3 Pro 5G 4/64GB синий
","
13140 сом
",/images/product/95022/1625596457_51859000.jpg
"
Сотовый телефон Xiaomi Redmi Note 11S 8/128GB серый
","
20140 сом
",/images/product/103730/1647067810_26792000.jpg
"
Сотовый телефон Xiaomi Redmi Note 11S 8/128GB белый
","
20140 сом
",/images/product/103731/1645887958_79387100.jpg
"
Сотовый телефон Xiaomi Redmi Note 11S 8/128GB синий
","
20140 сом
",/images/product/103732/1647067786_23073500.jpg
"
Сотовый телефон Xiaomi Redmi Note 11 4/64GB серый
","
15520 сом
",/images/product/102965/1643478422_63941400.jpg
"
Сотовый телефон Xiaomi Redmi Note 11 Pro 4G 8/128GB серый
","
22060 сом
",/images/product/103733/1645892206_15016100.jpg
"
Сотовый телефон Xiaomi Redmi Note 11 4/64GB голубой
","
15520 сом
",/images/product/102966/1647097832_69777400.jpg
"
Сотовый телефон Xiaomi Redmi Note 11 Pro 4G 8/128GB белый
","
22060 сом
",/images/product/103734/1645892235_58946500.jpg
"
Сотовый телефон Xiaomi Redmi Note 11 4/64GB синий
","
15520 сом
",/images/product/102967/1644472868_27682200.png
"
Сотовый телефон Xiaomi Redmi Note 11 Pro 4G 8/128GB голубой
","
22060 сом
",/images/product/103735/1645892274_42897700.jpg
"
Сотовый телефон Xiaomi Redmi Note 11 4/128GB серый
","
16330 сом
",/images/product/102968/1643478748_98003500.jpg
"
Сотовый телефон Xiaomi Redmi Note 11 4/128GB синий
","
16330 сом
",/images/product/102969/1643478762_66145700.jpg
"
Сотовый телефон Xiaomi Redmi Note 11 4/128GB голубой
","
16330 сом
",/images/product/102970/1646635011_63343100.jpg
"
Сотовый телефон Xiaomi Redmi 9A 2/32GB голубой
","
8200 сом
",/images/product/81981/1595752806_94536000.jpg
"
Сотовый телефон Samsung Galaxy A03 3/32GB черный
","
10050 сом
",/images/product/103742/1645913771_05954500.jpg
"
Сотовый телефон Samsung Galaxy A03 3/32GB синий
","
10050 сом
",/images/product/103743/1645913869_12021300.jpg
"
Сотовый телефон Samsung Galaxy A73 5G 8/128GB серый
","
37230 сом
",/images/product/107071/1653798204_78028800.jpg
"
Сотовый телефон Samsung Galaxy A03 3/32GB красный
","
10050 сом
",/images/product/103744/1645913966_49066000.jpg
"
Сотовый телефон Xiaomi Poco X4 Pro 6/128GB черный
","
23660 сом
",/images/product/104512/1647723211_84598600.jpg
"
Сотовый телефон Samsung Galaxy A73 5G 8/128GB мятный
","
37230 сом
",/images/product/107072/1653798236_82254000.jpg
"
Сотовый телефон Xiaomi Poco X4 Pro 6/128GB синий
","
23660 сом
",/images/product/104513/1647732062_04600100.jpg
"
Сотовый телефон Samsung Galaxy A73 5G 8/128GB белый
","
37230 сом
",/images/product/107073/1653798260_61509500.jpg
"
Сотовый телефон Xiaomi Poco X4 Pro 8/256 синий
","
26820 сом
",/images/product/104514/1647732278_60639400.jpg
"
Сотовый телефон Xiaomi Poco X4 Pro 8/256 желтый
","
26820 сом
",/images/product/104515/1647732390_08051000.jpg
"
Сотовый телефон Xiaomi Poco X4 Pro 8/256 черный
","
26820 сом
",/images/product/104516/1647732556_13519100.jpg
"
Сотовый телефон Oppo A12 3/32GB черный
","
7580 сом
",/images/product/88645/1612701244_62722900.jpg
"
Сотовый телефон Xiaomi Redmi 9C 4/128GB зеленый
","
10950 сом
",/images/product/102469/1642071660_13975400.jpg
"
Сотовый телефон Apple iPhone 14 Pro Max 1TB космический черный
","

 168730 сом
-1%

167840 сом
",/images/product/111173/1667071163_70803900.jpg
"
Сотовый телефон Honor 10X Lite 4/128GB полночный черный
","
16590 сом
",/images/product/93510/1622748563_91751500.jpg
"
Сотовый телефон Apple iPhone 14 Pro Max 1TB серебристый
","

 168730 сом
-1%

167840 сом
",/images/product/111174/1667071276_10960400.jpg
"
Сотовый телефон Honor 10X Lite 4/128GB изумрудно-зеленый
","
16590 сом
",/images/product/93511/1622748618_14672000.jpg
"
Сотовый телефон Xiaomi Redmi Note 10S 8/128GB черный
","
15880 сом
",/images/product/95303/1626169302_51333000.jpg
"
Сотовый телефон Honor 10X Lite 4/128GB ледяной белый
","
16590 сом
",/images/product/93512/1622749002_48731700.jpg
"
Сотовый телефон Samsung Galaxy A23 4/64GB голубой
","
16150 сом
",/images/product/105289/1649749218_11605000.jpg
"
Сотовый телефон Xiaomi Poco X4 GT 5G 8/128GB черный
","

 26280 сом
-1%

26020 сом
",/images/product/114505/1669627189_26648900.jpg
"
Сотовый телефон Samsung Galaxy A23 4/64GB персиковый
","
16150 сом
",/images/product/105290/1649749259_77093200.jpg
"
Сотовый телефон Xiaomi Poco X4 GT 5G 8/128GB голубой
","
26370 сом
",/images/product/114506/1669627205_22550400.jpg
"
Сотовый телефон Samsung Galaxy A23 4/64GB белый
","
16150 сом
",/images/product/105291/1649749329_43767500.jpg
"
Сотовый телефон Samsung Galaxy A23 4/64GB черный
","
16150 сом
",/images/product/105292/1649749368_86203000.jpg
"
Сотовый телефон Samsung A04e 3/64GB черный
","
9880 сом
",/images/product/115276/1671509712_46128700.jpg
"
Сотовый телефон Samsung Galaxy S22 8/128GB черный
","
55040 сом
",/images/product/105293/1649752086_95407900.jpg
"
Сотовый телефон Samsung A04e 3/64GB голубой
","
9880 сом
",/images/product/115277/1671509715_27486800.jpg
"
Сотовый телефон Samsung Galaxy S22 8/128GB белый
","
55040 сом
",/images/product/105294/1649752235_95589400.jpg
"
Сотовый телефон Apple iPhone 14 Plus 128GB сияющая звезда
","

 81060 сом
-1%

80610 сом
",/images/product/112974/1667069177_83440800.jpg
"
Сотовый телефон Samsung A04e 3/64GB медный
","
9880 сом
",/images/product/115278/1671509720_02356400.jpg
